NAME,PER,K,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
HAT-P-22 b,3.21222,313.3,2.15137,0.077182,0.077182,0.077182,1.08,0.058,0.058,0.058,2.11,0.345,0.345,0.345,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-23 b,1.212884,368.5,2.09606,0.122033,0.122033,0.122033,1.368,0.09,0.09,0.09,1.01,0.18,0.18,0.18,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B
HAT-P-24 b,3.35524,83,0.685857,0.0362279,0.0362279,0.0362279,1.242,0.067,0.067,0.067,0.44,0.07,0.07,0.07,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K
HAT-P-25 b,3.652836,74.3,0.567181,0.0263065,0.0263065,0.0263065,1.19,0.081,0.056,0.0685,3,0.04,0.06,0.05,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q
HAT-P-26 b,4.234516,8.5,0.0586489,0.00718301,0.00718301,0.00718301,0.565,0.052,0.052,0.052,0.4,0.1,0.1,0.1,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H
HAT-P-27 b,3.039577,91.2,0.617485,0.0299545,0.0299545,0.0299545,1.02,0.07,0.06,0.065,0.771559,0.152214,0.152214,0.152214,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B
HAT-P-28 b,3.257215,84.7,0.627833,0.0375046,0.0375046,0.0375046,1.212,0.0975,0.0975,0.0975,0.44,0.09,0.09,0.09,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B
HAT-P-29 b,5.723186,78.3,0.779004,0.0641995,0.0641995,0.0641995,1.107,0.109,0.109,0.109,0.71,0.18,0.18,0.18,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B
HAT-P-3 b,2.899703,89.1,0.595712,0.0248415,0.0248415,0.0248415,0.899,0.043,0.049,0.046,1.02,0.19,0.14,0.165,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
HAT-P-30 b,2.810595,88.1,0.711088,0.0354378,0.0354378,0.0354378,1.34,0.065,0.065,0.065,0.37,0.05,0.05,0.05,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J
HAT-P-31 b,5.005425,232.5,2.16904,0.0907295,0.0907295,0.0907295,1.07,0.48,0.32,0.4,2.18,1.24,0.93,1.085,Kipping 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K,Kipping 2011,http://adsabs.harvard.edu/abs/2011AJ....142...95K
HAT-P-32 b,2.150008,122.8,0.861516,0.165246,0.165246,0.165246,1.789,0.025,0.025,0.025,0.19,0.04,0.04,0.04,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H
HAT-P-33 b,3.474474,82.7,0.763256,0.102748,0.102748,0.102748,1.686,0.045,0.045,0.045,0.2,0.03,0.03,0.03,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H
HAT-P-34 b,5.452654,343.1,3.334,0.241769,0.241769,0.241769,1.197,0.128,0.092,0.11,2.4,0.63,0.63,0.63,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B
HAT-P-35 b,3.646706,120.7,1.05422,0.0400093,0.0400093,0.0400093,1.332,0.098,0.098,0.098,0.55,0.11,0.11,0.11,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B
