NAME,PER,K,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
Kepler-96 b,16.23844,2.1,0.0261659,0.0100228,0.0100228,0.0100228,0.238201,0.0196271,0.0196271,0.0196271,2.26,1.11,1.11,1.11,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-98 b,1.54168,1.82,0.0111695,0.0050341,0.0050341,0.0050341,0.177536,0.0196271,0.0196271,0.0196271,2.18,1.21,1.21,1.21,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-99 b,4.60358,2.91,0.01935,0.0040902,0.0040902,0.0040902,0.132037,0.00713712,0.00713712,0.00713712,10.9,2.82,2.82,2.82,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
OGLE-TR-10 b,3.10129,80,0.62,0.14,0.14,0.14,1.25,0.14,0.12,0.13,0.4,0.18,0.12,0.15,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
OGLE-TR-111 b,4.0144479,78,0.55,0.1,0.1,0.1,1.051,0.057,0.053,0.055,0.59,0.16,0.13,0.145,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
OGLE-TR-113 b,1.4324757,267,1.26,0.16,0.16,0.16,1.093,0.028,0.022,0.025,1.2,0.17,0.15,0.16,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
OGLE-TR-132 b,1.689868,167,1.18,0.14,0.14,0.14,1.2,0.15,0.11,0.13,0.85,0.32,0.24,0.28,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
OGLE-TR-182 b,3.9791,120,1.0245,0.148681,0.148681,0.148681,1.13,0.24,0.14,0.19,0.9415,0.497762,0.497762,0.497762,Pont 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..749P,Pont 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..749P
OGLE-TR-211 b,3.67724,82,0.757277,0.149139,0.149139,0.149139,1.36,0.18,0.09,0.135,0.661909,0.246284,0.246284,0.246284,Udalski 2008,http://adsabs.harvard.edu/abs/2008A%26A...482..299U,Udalski 2008,http://adsabs.harvard.edu/abs/2008A%26A...482..299U
OGLE-TR-56 b,1.211909,225,1.39,0.18,0.18,0.18,1.363,0.092,0.09,0.091,0.68,0.18,0.14,0.16,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
OGLE2-TR-L9 b,2.4855335,510,4.57442,1.509,1.509,1.509,1.61,0.04,0.04,0.04,2.4027,0.838079,0.838079,0.838079,Snellen 2009,http://adsabs.harvard.edu/abs/2009A%26A...497..545S,Snellen 2009,http://adsabs.harvard.edu/abs/2009A%26A...497..545S
Qatar-1 b,1.420033,218,1.08979,0.0850223,0.0850223,0.0850223,1.164,0.045,0.045,0.045,0.9177,0.13034,0.11172,0.12103,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A
Qatar-2 b,1.3371182,558.7,2.48409,0.0868209,0.0868209,0.0868209,1.144,0.035,0.035,0.035,2.20116,0.17238,0.17238,0.17238,Bryan 2012,http://adsabs.harvard.edu/abs/2012ApJ...750...84B,Bryan 2012,http://adsabs.harvard.edu/abs/2012ApJ...750...84B
TrES-1 b,3.030065,115.2,0.752484,0.0476367,0.0476367,0.0476367,1.067,0.022,0.021,0.0215,0.769,0.069,0.065,0.067,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Alonso 2004,http://adsabs.harvard.edu/abs/2004ApJ...613L.153A
TrES-2 b,2.47063,181.3,1.20071,0.0522427,0.0522427,0.0522427,1.224,0.041,0.041,0.041,0.813,0.096,0.082,0.089,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,O'Donovan 2006,http://adsabs.harvard.edu/abs/2006ApJ...651L..61O
TrES-3 b,1.30619,369,1.91,0.075,0.08,0.0775,1.336,0.031,0.037,0.034,0.994,0.095,0.078,0.0865,Sozzetti 2009,http://adsabs.harvard.edu/abs/2009ApJ...691.1145S,Sozzetti 2009,http://adsabs.harvard.edu/abs/2009ApJ...691.1145S
TrES-4 b,3.553945,97.4,0.925,0.082,0.082,0.082,1.783,0.093,0.086,0.0895,0.213,0.03,0.027,0.0285,Mandusehv 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M
TrES-5 b,1.4822446,339.8,1.7781,0.0800981,0.0800981,0.0800981,1.209,0.021,0.021,0.021,1.25,0.08,0.08,0.08,Mandushev 2011,http://adsabs.harvard.edu/abs/2011ApJ...741..114M,Mandushev 2011,http://adsabs.harvard.edu/abs/2011ApJ...741..114M
WASP-1 b,2.5199449,109.4,0.918,0.091,0.091,0.091,1.516,0.052,0.248,0.15,0.328,0.048,0.042,0.045,Simpson 2011,http://adsabs.harvard.edu/abs/2011MNRAS.414.3023S,Simpson 2011,http://adsabs.harvard.edu/abs/2011MNRAS.414.3023S
WASP-10 b,3.0927616,520.1,3.19144,0.115876,0.115876,0.115876,1.08,0.02,0.02,0.02,3.11,0.2,0.2,0.2,Johnson 2009,http://adsabs.harvard.edu/abs/2009ApJ...692L.100J,Johnson 2009,http://adsabs.harvard.edu/abs/2009ApJ...692L.100J
WASP-100 b,2.849375,213,2.03,0.12,0.12,0.12,1.69,0.29,0.29,0.29,0.4,0.2,0.2,0.2,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H
WASP-101 b,3.585722,54,0.5,0.04,0.04,0.04,1.41,0.05,0.05,0.05,0.18,0.02,0.02,0.02,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H
WASP-103 b,0.925542,271,1.48791,0.0959377,0.0959377,0.0959377,1.528,0.073,0.047,0.06,0.553034,0.0743041,0.0743041,0.0743041,Gillon 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.2784G,Gillon 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.2784G
WASP-104 b,1.7554137,202.7,1.272,0.047,0.047,0.047,1.137,0.037,0.037,0.037,1.418,0.094,0.094,0.094,Smith 2014,http://adsabs.harvard.edu/abs/2014A%26A...570A..64S,Smith 2014,http://adsabs.harvard.edu/abs/2014A%26A...570A..64S
WASP-106 b,9.289715,165.3,1.925,0.076,0.076,0.076,1.085,0.046,0.028,0.037,1.99,0.15,0.21,0.18,Smith 2014,http://adsabs.harvard.edu/abs/2014A%26A...570A..64S,Smith 2014,http://adsabs.harvard.edu/abs/2014A%26A...570A..64S
WASP-11 b,3.722465,82.1,0.539755,0.0518703,0.0518703,0.0518703,0.91,0.06,0.03,0.045,0.9177,0.0931,0.1463,0.1197,West 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..395W,West 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..395W
WASP-117 b,10.02165,25.16,0.2755,0.009,0.009,0.009,1.021,0.076,0.065,0.0705,0.344,0.072,0.062,0.067,Lendl 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..81L,Lendl 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..81L
WASP-12 b,1.09142245,226,1.36063,0.0509218,0.0509218,0.0509218,1.79,0.09,0.09,0.09,0.32,0.033,0.033,0.033,Maciejewski 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..65M,Maciejewski 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..65M
WASP-13 b,4.3530135,55.5,0.473883,0.0344497,0.0344497,0.0344497,1.407,0.052,0.052,0.052,0.18,0.02,0.02,0.02,Barros 2012,http://adsabs.harvard.edu/abs/2012MNRAS.419.1248B,Chew 2013,http://adsabs.harvard.edu/abs/2013ApJ...768...79G
WASP-14 b,2.243752,993,7.69234,0.293081,0.293081,0.293081,1.281,0.075,0.082,0.0785,4.65633,0.636,0.9866,0.8113,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J
WASP-15 b,3.7521,63.4,0.542797,0.0208612,0.0208612,0.0208612,1.379,0.067,0.058,0.0625,0.247,0.035,0.035,0.035,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
WASP-16 b,3.1186009,116.7,0.842294,0.0319679,0.0319679,0.0319679,1.008,0.083,0.059,0.071,1.1039,0.1729,0.2261,0.1995,Lister 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..752L,Lister 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..752L
WASP-17 b,3.735433,59.2,0.508547,0.0300802,0.0300802,0.0300802,1.932,0.052,0.1,0.076,0.1915,0.05586,0.04414,0.05,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
WASP-18 b,0.9414529,1818.3,10.2006,0.335619,0.335619,0.335619,1.267,0.062,0.045,0.0535,10.2809,1.0374,1.6891,1.36325,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
WASP-19 b,0.78884,257,1.13339,0.0393463,0.0393463,0.0393463,1.386,0.032,0.032,0.032,0.438,0.028,0.028,0.028,Hellier 2011,http://adsabs.harvard.edu/abs/2011ApJ...730L..31H,Hellier 2011,http://adsabs.harvard.edu/abs/2011ApJ...730L..31H
WASP-2 b,2.1522254,155,0.908659,0.0350237,0.0350237,0.0350237,1.077,0.055,0.058,0.0565,0.92,0.27,0.2,0.235,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
WASP-20 b,4.8996285,32.8,0.311,0.017,0.017,0.017,1.462,0.059,0.059,0.059,0.1006,0.0131,0.0099,0.0115,Anderson 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A..61A,Anderson 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A..61A
WASP-21 b,4.322482,37.2,0.300272,0.0133766,0.0133766,0.0133766,1.07,0.06,0.06,0.06,0.3192,0.0665,0.0665,0.0665,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B
WASP-22 b,3.53269,70,0.559059,0.10254,0.10254,0.10254,1.12,0.04,0.04,0.04,0.532,0.05,0.05,0.05,Maxted 2010,http://adsabs.harvard.edu/abs/2010AJ....140.2007M,Maxted 2010,http://adsabs.harvard.edu/abs/2010AJ....140.2007M
WASP-23 b,2.9444256,145.8,0.872226,0.0937696,0.0937696,0.0937696,0.962,0.0515,0.0515,0.0515,1.29911,0.251102,0.251102,0.251102,Triaud 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..24T,Triaud 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..24T
WASP-24 b,2.3412127,148.2,1.091,0.0405076,0.0405076,0.0405076,1.3,0.039,0.038,0.0385,0.487,0.043,0.04,0.0415,Street 2010,http://adsabs.harvard.edu/abs/2010ApJ...720..337S,Simpson 2011,http://adsabs.harvard.edu/abs/2011MNRAS.414.3023S
WASP-25 b,3.764825,75.5,0.57847,0.044926,0.044926,0.044926,1.22,0.06,0.05,0.055,0.42161,0.04788,0.04123,0.044555,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E
WASP-26 b,2.7566,135.5,1.01746,0.0336252,0.0336252,0.0336252,1.32,0.08,0.08,0.08,0.5852,0.1064,0.1064,0.1064,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S
WASP-28 b,3.40883,120.5,0.907,0.043,0.043,0.043,1.213,0.042,0.042,0.042,0.508,0.047,0.047,0.047,Anderson 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A..61A,Anderson 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A..61A
WASP-29 b,3.922727,35.6,0.242991,0.0201282,0.0201282,0.0201282,0.792,0.056,0.035,0.0455,0.6517,0.1064,0.1064,0.1064,Hellier 2010,http://adsabs.harvard.edu/abs/2010ApJ...723L..60H,Hellier 2010,http://adsabs.harvard.edu/abs/2010ApJ...723L..60H
WASP-3 b,1.846834,290.5,2.01184,0.0935965,0.0935965,0.0935965,1.29,0.085,0.085,0.085,1.0906,0.1862,0.1862,0.1862,Tripathi 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..421T,Tripathi 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..421T
WASP-31 b,3.405909,58.2,0.479329,0.0328081,0.0328081,0.0328081,1.537,0.06,0.06,0.06,0.132,0.017,0.017,0.017,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A
WASP-32 b,2.718661,478,3.45362,0.139379,0.139379,0.139379,1.1,0.04,0.04,0.04,3.44064,0.400381,0.400381,0.400381,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B
WASP-34 b,4.3176782,72.1,0.583354,0.0285497,0.0285497,0.0285497,1.22,0.11,0.08,0.095,0.4522,0.1064,0.1064,0.1064,Smalley 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.130S,Smalley 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.130S
WASP-35 b,3.161575,94.82,0.717098,0.0587383,0.0587383,0.0587383,1.32,0.03,0.03,0.03,0.4256,0.0399,0.0399,0.0399,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E
WASP-36 b,1.5373653,391.4,2.26929,0.089103,0.089103,0.089103,1.269,0.03,0.03,0.03,1.47451,0.098124,0.084864,0.091494,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S
WASP-37 b,3.577469,250.7,1.79362,0.166323,0.166323,0.166323,1.16,0.07,0.06,0.065,1.5295,0.1596,0.1914,0.1755,Simpson 2011,http://adsabs.harvard.edu/abs/2011AJ....141....8S,Simpson 2011,http://adsabs.harvard.edu/abs/2011AJ....141....8S
WASP-38 b,6.87188,252,2.70901,0.100012,0.100012,0.100012,1.09,0.02,0.02,0.02,2.06,0.14,0.14,0.14,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B
WASP-39 b,4.055259,38,0.284338,0.0313727,0.0313727,0.0313727,1.27,0.04,0.04,0.04,0.1862,0.0532,0.0532,0.0532,Faedi 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..40F,Faedi 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..40F
WASP-4 b,1.3382299,240,1.22311,0.0472558,0.0472558,0.0472558,1.341,0.023,0.029,0.026,0.665,0.0399,0.0399,0.0399,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
WASP-41 b,3.052401,135,0.932493,0.0588469,0.0588469,0.0588469,1.2,0.06,0.06,0.06,0.663,0.10608,0.10608,0.10608,Maxted 2011,http://adsabs.harvard.edu/abs/2011PASP..123..547M,Maxted 2011,http://adsabs.harvard.edu/abs/2011PASP..123..547M
WASP-42 b,4.9816877,64.3,0.496968,0.0340244,0.0340244,0.0340244,1.063,0.051,0.051,0.051,0.546312,0.0649739,0.0556919,0.0603329,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L
WASP-43 b,0.813475,550.3,1.77609,0.10347,0.10347,0.10347,0.93,0.07,0.09,0.08,2.9393,0.54887,0.96733,0.7581,Hellier 2011,http://adsabs.harvard.edu/abs/2011A%26A...535L...7H,Hellier 2011,http://adsabs.harvard.edu/abs/2011A%26A...535L...7H
WASP-44 b,2.4238039,138.8,0.889836,0.0647194,0.0647194,0.0647194,1.14,0.11,0.11,0.11,0.458647,0.172932,0.112782,0.142857,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A
WASP-45 b,3.1260876,148.3,1.00657,0.0520663,0.0520663,0.0520663,1.16,0.28,0.14,0.21,0.8512,0.399,0.399,0.399,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A
WASP-46 b,1.43037,387,2.10232,0.0879346,0.0879346,0.0879346,1.31,0.051,0.051,0.051,1.2502,0.1463,0.1463,0.1463,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A
WASP-47 b,4.1591399,136,1.13646,0.0563925,0.0563925,0.0563925,1.15,0.04,0.02,0.03,0.9842,0.0665,0.0798,0.07315,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H
WASP-48 b,2.143634,136.02,0.984236,0.0864907,0.0864907,0.0864907,1.67,0.08,0.08,0.08,0.2793,0.0532,0.0532,0.0532,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E
WASP-49 b,2.7817387,56.8,0.378231,0.0262594,0.0262594,0.0262594,1.115,0.047,0.047,0.047,0.361998,0.0397799,0.0344761,0.037128,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L
WASP-5 b,1.6284229,277.8,1.62423,0.055083,0.055083,0.055083,1.14,0.1,0.04,0.07,1.22,0.19,0.25,0.22,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T
WASP-50 b,1.9550959,256.6,1.47244,0.0879343,0.0879343,0.0879343,1.153,0.048,0.048,0.048,1.27031,0.117351,0.117351,0.117351,Gillon 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..88G,Gillon 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..88G
WASP-52 b,1.7497798,84.3,0.457165,0.0222181,0.0222181,0.0222181,1.27,0.03,0.03,0.03,0.29172,0.02652,0.02652,0.02652,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H
WASP-54 b,3.6936411,73,0.63273,0.0272235,0.0272235,0.0272235,1.653,0.09,0.083,0.0865,0.186966,0.027183,0.027183,0.027183,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F
WASP-55 b,4.465633,70,0.571173,0.0377848,0.0377848,0.0377848,1.3,0.05,0.03,0.04,0.34476,0.02652,0.03978,0.03315,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H
WASP-56 b,4.617101,69,0.605385,0.0404689,0.0404689,0.0404689,1.092,0.035,0.033,0.034,0.580788,0.06365,0.060994,0.062322,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F
WASP-57 b,2.838971,100,0.675887,0.0523705,0.0523705,0.0523705,0.916,0.017,0.014,0.0155,0.11576,0.100776,0.094146,0.097461,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F
WASP-58 b,5.01718,110.1,0.891379,0.0713296,0.0713296,0.0713296,1.37,0.2,0.2,0.2,0.45084,0.18564,0.18564,0.18564,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H
WASP-59 b,7.919585,109.6,0.859095,0.0449723,0.0449723,0.0449723,0.775,0.068,0.068,0.068,2.3868,0.663,0.663,0.663,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H
WASP-6 b,3.361006,74.3,0.52136,0.0204998,0.0204998,0.0204998,1.224,0.051,0.052,0.0515,0.3591,0.067,0.067,0.067,Gillon 2009,http://adsabs.harvard.edu/abs/2009A%26A...501..785G,Gillon 2009,http://adsabs.harvard.edu/abs/2009A%26A...501..785G
WASP-60 b,4.3050011,60.8,0.512143,0.0362524,0.0362524,0.0362524,0.86,0.12,0.12,0.12,1.0608,0.3978,0.3978,0.3978,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H
WASP-61 b,3.8559,233,2.05491,0.078598,0.078598,0.078598,1.24,0.03,0.03,0.03,1.41882,0.11934,0.11934,0.11934,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H
WASP-62 b,4.411953,60,0.56227,0.0418907,0.0418907,0.0418907,1.39,0.06,0.06,0.06,0.27846,0.03978,0.03978,0.03978,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H
WASP-63 b,4.37808,39,0.378096,0.0316743,0.0316743,0.0316743,1.43,0.1,0.06,0.08,0.17238,0.02652,0.02652,0.02652,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H
WASP-64 b,1.5732918,221,1.27137,0.0760245,0.0760245,0.0760245,1.271,0.039,0.039,0.039,0.820794,0.084864,0.068952,0.076908,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G
WASP-66 b,4.086052,246,2.31346,0.132319,0.132319,0.132319,1.39,0.09,0.09,0.09,1.14036,0.22542,0.17238,0.1989,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H
WASP-67 b,4.61442,56,0.41931,0.0329627,0.0329627,0.0329627,1.4,0.3,0.2,0.25,0.21216,0.10608,0.10608,0.10608,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H
WASP-68 b,5.084298,97.9,0.957019,0.0368934,0.0368934,0.0368934,1.24,0.1,0.06,0.08,0.663,0.10608,0.14586,0.12597,Delrez 2014,http://adsabs.harvard.edu/abs/2014A%26A...563A.143D,Delrez 2014,http://adsabs.harvard.edu/abs/2014A%26A...563A.143D
WASP-69 b,3.8681382,38.1,0.259543,0.0184666,0.0184666,0.0184666,1.057,0.017,0.017,0.017,0.286703,0.0246751,0.0246751,0.0246751,Anderson 2014,http://adsabs.harvard.edu/abs/2014MNRAS.445.1114A,Anderson 2014,http://adsabs.harvard.edu/abs/2014MNRAS.445.1114A
WASP-7 b,4.954658,97,0.919279,0.126953,0.126953,0.126953,0.915,0.046,0.04,0.043,1.67,0.33,0.28,0.305,Hellier 2009,http://adsabs.harvard.edu/abs/2009ApJ...690L..89H,Hellier 2009,http://adsabs.harvard.edu/abs/2009ApJ...690L..89H
WASP-70 A b,3.7130203,72.3,0.590076,0.0255278,0.0255278,0.0255278,1.164,0.073,0.102,0.0875,0.375,0.104,0.06,0.082,Anderson 2014,http://adsabs.harvard.edu/abs/2014MNRAS.445.1114A,Anderson 2014,http://adsabs.harvard.edu/abs/2014MNRAS.445.1114A
WASP-71 b,2.9036747,236.4,2.242,0.08,0.08,0.08,1.5,0.11,0.11,0.11,0.88842,0.18564,0.18564,0.18564,Smith 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A.120S,Smith 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A.120S
WASP-72 b,2.216726,181.3,1.40771,0.0593514,0.0593514,0.0593514,1.01,0.12,0.18,0.15,1.80336,0.49062,0.49062,0.49062,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G
WASP-73 b,4.08722,196.3,1.88059,0.0738997,0.0738997,0.0738997,1.16,0.12,0.08,0.1,1.5912,0.3448,0.3978,0.3713,Delrez 2014,http://adsabs.harvard.edu/abs/2014A%26A...563A.143D,Delrez 2014,http://adsabs.harvard.edu/abs/2014A%26A...563A.143D
WASP-74 b,2.13775,114.1,0.95,0.06,0.06,0.06,1.56,0.06,0.06,0.06,0.333,0.027,0.027,0.027,Hellier 2015,http://adsabs.harvard.edu/abs/2015AJ....150...18H,Hellier 2015,http://adsabs.harvard.edu/abs/2015AJ....150...18H
WASP-75 b,2.484193,146,1.07,0.05,0.05,0.05,1.27,0.048,0.048,0.048,0.52,0.06,0.05,0.055,Gomez 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.6532G,Gomez 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.6532G
WASP-77 A b,1.3600309,321.9,1.75921,0.0623904,0.0623904,0.0623904,1.21,0.02,0.02,0.02,1.326,0.0397799,0.0397799,0.0397799,Maxted 2013,http://adsabs.harvard.edu/abs/2013PASP..125...48M,Maxted 2013,http://adsabs.harvard.edu/abs/2013PASP..125...48M
WASP-78 b,2.17517656,113.8,0.883997,0.0805911,0.0805911,0.0805911,1.7,0.11,0.11,0.11,0.18,0.04,0.04,0.04,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S
WASP-79 b,3.6623817,88.2,0.887514,0.0836078,0.0836078,0.0836078,1.7,0.11,0.11,0.11,0.18,0.04,0.04,0.04,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S
