wavelength,species,ep,gf,K11,Sun,HD1178,HD10145,HD16623,HD20329,HD21727,HD21774,HD28474,HD176733,HD191069
5589.358,28,3.8982,-1.14,28.8,28,30.4,28.9,13.3,28.9,29.5,39,9.8,30.6,28.3
5643.078,28,4.1646,-1.25,15.9,15.4,16.6,16.7,7.4,15.9,16.5,24.4,4.9,15.7,15.3
5805.217,28,4.1672,-0.64,42.7,40.2,43.7,40.9,22.3,41,43.4,54.5,16.8,43.5,42.3
6086.282,28,4.2661,-0.51,45.9,43.3,45.2,43.6,23.8,44.6,45.2,57.9,17.4,46.5,44.4
6108.116,28,1.6764,-2.44,66.5,65.5,71.9,69.8,44.2,70.6,75,80.6,35.4,71.2,68.4
6130.135,28,4.2661,-0.96,24.5,22.2,24.2,21.8,9.7,23.7,23.9,33.1,7.2,23.7,23.1
6176.811,28,4.0881,-0.26,66.2,64.1,65.7,64.2,40.4,64.6,68.7,78.7,33.1,65.5,65.5
6177.242,28,1.8261,-3.51,14.6,15.4,17.8,17.6,7,16.9,18.3,24.3,5.7,18.1,16.9
6186.711,28,4.1054,-0.96,33.4,30.8,32.6,30.9,14.9,32.2,32.6,45.7,10.8,33.4,32.7
6204.604,28,4.0881,-1.14,23.9,22.6,24.8,23.4,10.6,23.2,24.5,33.6,7.2,24.5,23.7
6223.984,28,4.1054,-0.98,29.8,29.6,29.9,28.4,13.4,28.7,30.5,40.5,10,30.2,29.8
6378.25,28,4.1535,-0.9,33.5,32,34.5,32.1,15.8,33.2,33.9,45.5,11.6,33.8,33.9
6643.63,28,1.6764,-2,95.9,93.3,101.3,96.5,69.1,100,98.5,110.9,60.3,105.1,99.7
6767.772,28,1.8261,-2.17,80.6,78,84,81.4,59.7,81.5,88.6,92.6,52.5,84.5,80.5
6772.315,28,3.6576,-0.99,51.6,50.3,53,49.4,29.3,50,50.7,63.9,22.8,52.1,51.5
7727.624,28,3.6784,-0.4,90.9,91.7,97,89.6,64.2,93,93.8,107.6,56.6,93.1,91.8
7797.586,28,3.89,-0.34,79.1,77,,77.2,54,70.7,78.3,86.9,44.4,73.8,74.7
5105.505,29,1.39,-3.88,93.6,93,102.6,97.8,64.7,100.9,99.6,111.9,56.9,102.2,100.4
-5105.509,29,1.39,-2.926,0,0,0,0,0,0,0,0,0,0,0
-5105.511,29,1.39,-2.88,0,0,0,0,0,0,0,0,0,0,0
-5105.512,29,1.39,-4.056,0,0,0,0,0,0,0,0,0,0,0
-5105.517,29,1.39,-2.813,0,0,0,0,0,0,0,0,0,0,0
-5105.52,29,1.39,-2.558,0,0,0,0,0,0,0,0,0,0,0
-5105.531,29,1.39,-2.91,0,0,0,0,0,0,0,0,0,0,0
-5105.536,29,1.39,-2.308,0,0,0,0,0,0,0,0,0,0,0
-5105.558,29,1.39,-2.102,0,0,0,0,0,0,0,0,0,0,0
-5105.503,29,1.39,-4.232,0,0,0,0,0,0,0,0,0,0,0
-5105.506,29,1.39,-3.277,0,0,0,0,0,0,0,0,0,0,0
-5105.509,29,1.39,-3.232,0,0,0,0,0,0,0,0,0,0,0
-5105.51,29,1.39,-4.408,0,0,0,0,0,0,0,0,0,0,0
-5105.515,29,1.39,-3.165,0,0,0,0,0,0,0,0,0,0,0
-5105.519,29,1.39,-2.909,0,0,0,0,0,0,0,0,0,0,0
-5105.53,29,1.39,-3.262,0,0,0,0,0,0,0,0,0,0,0
-5105.536,29,1.39,-2.659,0,0,0,0,0,0,0,0,0,0,0
-5105.56,29,1.39,-2.453,0,0,0,0,0,0,0,0,0,0,0
5218.191,29,3.816,-1.094,56.7,53.7,57.4,55.2,33,57,56.1,68.1,25.8,58.3,58.4
-5218.193,29,3.816,-1.14,0,0,0,0,0,0,0,0,0,0,0
-5218.193,29,3.816,-0.772,0,0,0,0,0,0,0,0,0,0,0
-5218.196,29,3.816,-2.094,0,0,0,0,0,0,0,0,0,0,0
-5218.196,29,3.816,-1.027,0,0,0,0,0,0,0,0,0,0,0
-5218.196,29,3.816,-0.522,0,0,0,0,0,0,0,0,0,0,0
-5218.202,29,3.816,-2.27,0,0,0,0,0,0,0,0,0,0,0
-5218.202,29,3.816,-1.124,0,0,0,0,0,0,0,0,0,0,0
-5218.202,29,3.816,-0.316,0,0,0,0,0,0,0,0,0,0,0
-5218.19,29,3.816,-1.446,0,0,0,0,0,0,0,0,0,0,0
-5218.192,29,3.816,-1.491,0,0,0,0,0,0,0,0,0,0,0
-5218.192,29,3.816,-1.123,0,0,0,0,0,0,0,0,0,0,0
-5218.196,29,3.816,-2.446,0,0,0,0,0,0,0,0,0,0,0
-5218.196,29,3.816,-1.379,0,0,0,0,0,0,0,0,0,0,0
-5218.196,29,3.816,-0.874,0,0,0,0,0,0,0,0,0,0,0
-5218.202,29,3.816,-2.622,0,0,0,0,0,0,0,0,0,0,0
-5218.202,29,3.816,-1.475,0,0,0,0,0,0,0,0,0,0,0
-5218.202,29,3.816,-0.667,0,0,0,0,0,0,0,0,0,0,0
5220.065,29,3.816,-1.8131,17.9,16,20.4,17.5,7.6,19.5,18.8,26.5,6.6,19.2,19.9
-5220.067,29,3.816,-1.8131,0,0,0,0,0,0,0,0,0,0,0
-5220.066,29,3.816,-2.2111,0,0,0,0,0,0,0,0,0,0,0
-5220.064,29,3.816,-1.609,0,0,0,0,0,0,0,0,0,0,0
-5220.068,29,3.816,-1.609,0,0,0,0,0,0,0,0,0,0,0
-5220.066,29,3.816,-1.5121,0,0,0,0,0,0,0,0,0,0,0
-5220.063,29,3.816,-1.667,0,0,0,0,0,0,0,0,0,0,0
-5220.069,29,3.816,-1.667,0,0,0,0,0,0,0,0,0,0,0
-5220.066,29,3.816,-1.0649,0,0,0,0,0,0,0,0,0,0,0
-5220.099,29,3.816,-2.1611,0,0,0,0,0,0,0,0,0,0,0
-5220.101,29,3.816,-2.1611,0,0,0,0,0,0,0,0,0,0,0
-5220.1,29,3.816,-2.5591,0,0,0,0,0,0,0,0,0,0,0
-5220.098,29,3.816,-1.957,0,0,0,0,0,0,0,0,0,0,0
-5220.102,29,3.816,-1.957,0,0,0,0,0,0,0,0,0,0,0
-5220.1,29,3.816,-1.8601,0,0,0,0,0,0,0,0,0,0,0
-5220.097,29,3.816,-2.015,0,0,0,0,0,0,0,0,0,0,0
-5220.103,29,3.816,-2.015,0,0,0,0,0,0,0,0,0,0,0
-5220.1,29,3.816,-1.4129,0,0,0,0,0,0,0,0,0,0,0
7933.092,29,3.79,-1.383,36.2,34.1,43.6,34.6,14.8,38.2,35.3,54.2,10.8,43.9,37.3
-7933.101,29,3.79,-1.035,0,0,0,0,0,0,0,0,0,0,0
-7933.115,29,3.79,-1.383,0,0,0,0,0,0,0,0,0,0,0
-7933.122,29,3.79,-1.035,0,0,0,0,0,0,0,0,0,0,0
-7933.131,29,3.79,-2.082,0,0,0,0,0,0,0,0,0,0,0
-7933.136,29,3.79,-1.734,0,0,0,0,0,0,0,0,0,0,0
-7933.154,29,3.79,-1.383,0,0,0,0,0,0,0,0,0,0,0
-7933.157,29,3.79,-1.035,0,0,0,0,0,0,0,0,0,0,0
4722.159,30,4.03,-0.38,69.8,72,72.6,,59.3,73.3,,85.3,48.1,71.1,79.4
4810.534,30,4.08,-0.16,74.9,73.2,75.3,73.8,65.1,77.3,72.2,84.4,55.6,,78
6362.35,30,5.79,0.14,21.6,19.5,19.4,18,13.4,21.6,17.4,25.8,9.7,17.8,23.1
4218.723,106,0.413,-1.008,76.6,79.9,84.9,83.6,71.9,80.8,81.7,83.4,69.4,87.7,86.4
4253.003,106,0.523,-1.523,34.9,36.8,40.3,38.2,31.9,36.2,36.7,37.8,30,41.7,39.4
4253.209,106,0.523,-1.486,36.5,39.1,42.1,40.6,33.9,38,37.5,38.6,31.4,43.4,41.7
4854.867,39.1,0.9923,-0.857,50.9,49.7,48.7,48.2,31.5,45.9,48.2,57.5,27,48.6,49.9
-4854.867,39.1,0.9923,-0.602,0,0,0,0,0,0,0,0,0,0,0
-4854.868,39.1,0.9923,-1.556,0,0,0,0,0,0,0,0,0,0,0
4883.685,39.1,1.0841,-0.298,60.7,57.2,56.8,56,42.4,53.6,54.9,64,38.7,55.4,57.4
-4883.685,39.1,1.0841,-1.729,0,0,0,0,0,0,0,0,0,0,0
-4883.685,39.1,1.0841,-0.185,0,0,0,0,0,0,0,0,0,0,0
4900.11,39.1,1.0326,-0.488,56.4,54.9,54,51.5,39.6,51.7,52.7,61.3,35.3,51.2,54.6
-4900.11,39.1,1.0326,-1.634,0,0,0,0,0,0,0,0,0,0,0
-4900.11,39.1,1.0326,-0.333,0,0,0,0,0,0,0,0,0,0,0
5087.42,39.1,1.0841,-0.534,49.4,46.8,46.4,43.9,31.1,41.3,43.7,54.4,27.5,43.5,46.9
-5087.42,39.1,1.0841,-2.078,0,0,0,0,0,0,0,0,0,0,0
-5087.42,39.1,1.0841,-2.078,0,0,0,0,0,0,0,0,0,0,0
-5087.42,39.1,1.0841,-0.435,0,0,0,0,0,0,0,0,0,0,0
5200.413,39.1,0.9923,-1.968,39.2,37.9,37.7,35.3,20.8,36,36,44.9,20.1,35.6,36.4
-5200.413,39.1,0.9923,-1.014,0,0,0,0,0,0,0,0,0,0,0
-5200.413,39.1,0.9923,-0.822,0,0,0,0,0,0,0,0,0,0,0
-5200.413,39.1,0.9923,-1.968,0,0,0,0,0,0,0,0,0,0,0
