wavelength,species,ep,gf,K11,Sun,HD1178,HD10145,HD16623,HD20329,HD21727,HD21774,HD28474,HD176733,HD191069
6430.846,26,2.1759,-2.006,112.3,110.9,117.7,115.6,87.9,114.5,117.9,125.7,79.8,118.8,113.6
6498.939,26,0.9581,-4.699,52.5,46.4,54.1,52.3,24.3,52,54.1,60.9,19.5,55.2,49.5
6593.871,26,2.4326,-2.422,82.9,83.1,88.1,86.4,60.2,82.9,87.9,96.1,54.4,87.1,83.2
6597.561,26,4.795,-0.98,45.4,43.2,45.8,44.9,22.1,42.3,46.9,56.2,17.6,46.7,43.1
6625.022,26,1.011,-5.336,14.8,16.4,19.9,20.1,6.2,18.8,20.6,24.7,5.8,21,17.2
6677.987,26,2.692,-1.418,124.7,124.6,131.4,131.9,97.1,125.4,133.2,142.5,89.6,131.5,124.4
6703.567,26,2.7585,-3.023,38,36.2,42,41.5,17.7,39.2,43.7,50.1,14.6,41.7,36.9
6705.102,26,4.607,-0.98,48,46.6,49.6,49.5,23.3,45.5,50,60.8,18.3,48.5,46.4
6710.319,26,1.485,-4.88,17.8,16.5,20.1,19.6,7.3,19.1,21.2,26.8,5.5,21.2,17.8
6713.745,26,4.795,-1.4,20.8,20.6,23.9,22.1,9.3,20.6,24,31.2,7.1,23.8,21.2
6725.357,26,4.103,-2.19,18.8,17.5,19,18.8,6.9,17.6,22.1,27.3,5.5,20.2,17.9
6726.667,26,4.607,-1.03,47.6,47,49.5,49,23.9,45.7,50.7,59.9,19.8,48.5,47.1
6733.151,26,4.638,-1.47,28.1,26.9,29.5,28.4,11.2,25.8,29.7,38.8,8.7,29.5,26.8
6739.522,26,1.557,-4.79,12.8,11.8,15.7,14.2,5.4,14.1,15.3,19.8,3.8,15.3,13.6
6750.152,26,2.4241,-2.621,74.1,73.5,80.4,76.6,51.2,75,81.4,87.1,45.6,78.1,74.6
6752.707,26,4.638,-1.204,37.4,36.1,40.1,38.3,18.5,35.4,38.8,48.7,11.9,38.7,36
6806.845,26,2.727,-3.11,35.9,34.3,40.9,40.1,16.2,35.8,40.7,49.2,13,39.5,34.7
6810.263,26,4.607,-0.986,52.5,50.9,52.5,52,26.5,48.6,53.5,63.8,22,53.6,50.2
6837.006,26,4.593,-1.687,18.6,17.7,19.5,19.9,8.4,18.2,20.1,27.2,5.1,19.7,17.5
6839.83,26,2.559,-3.35,31.4,30.5,35.4,34.6,13.6,32.5,36.2,44.7,10.8,36,31.4
6843.656,26,4.548,-0.86,62.7,60.8,63.7,63.5,37,60.2,64.7,74.1,29.7,63.9,59.6
6858.15,26,4.607,-0.93,52.7,51.2,54.9,52.7,27.7,50.4,54.2,63.1,22,53.8,50.5
4508.288,26.1,2.8557,-2.44,88.1,85.5,83.8,84.9,73.3,79.4,82.5,94.9,66.1,80.3,87
4520.224,26.1,2.8068,-2.65,82,80.9,80.5,79.2,66.4,75.7,78.8,91,60.8,77.6,82.2
4576.34,26.1,2.8443,-2.95,66,64.6,63.2,61,51.2,57.6,62.5,72.6,44.1,60.9,66.5
4620.521,26.1,2.8283,-3.21,55.1,53.6,52.2,51,38.1,47.6,50.2,63.2,32.1,49,55.5
4993.358,26.1,2.8066,-3.62,39.7,38.6,38.8,37.5,25.9,35.7,37.3,48.9,19.8,36.5,40.2
5197.577,26.1,3.2306,-2.22,80.6,78.4,76.8,,69.9,71.9,,,59.5,,80.6
5234.625,26.1,3.2215,-2.18,83.2,80.1,79.9,79.9,68.4,74.7,77.3,90.9,62.8,75,82.8
5264.812,26.1,3.2304,-3.13,46.9,43.7,43.2,41.8,32,39.3,41.1,53,26.3,40.2,46.1
5414.073,26.1,3.2215,-3.58,30.7,27.5,27.1,25.5,16.2,23.5,24.5,35.4,11.8,24,28.9
5425.257,26.1,3.1996,-3.22,45.4,42.1,42.3,39.7,27.9,36.6,39.4,51.9,21.8,39.1,42.8
6084.111,26.1,3.1996,-3.79,23.2,20.9,20.3,19.7,12.5,17.3,19.4,29.2,8.8,18.3,21.4
6149.258,26.1,3.8894,-2.69,37.7,35.8,33.9,33.1,23.3,31,31.9,44.1,17.8,31.5,36.2
6247.557,26.1,3.8918,-2.3,56.7,52.5,50.1,49.4,38.9,44.9,48.2,60.9,32.8,46.1,52.1
6369.462,26.1,2.8912,-4.11,21.5,19.2,19.3,18.2,10.4,15.7,17.7,27.1,7.5,16.6,19.1
6416.919,26.1,3.8918,-2.64,,,39.8,43.6,26,35.2,41.7,53.8,19.7,46.1,44.9
6432.68,26.1,2.8912,-3.57,43.9,40.4,39.8,38.9,26.9,34.3,37.7,49.3,22,38.3,42.6
6456.383,26.1,3.9036,-2.05,67.1,62.4,60.3,60.3,49.4,57.6,59.2,72.4,41.7,56.9,63.5
5052.167,6,7.685,-1.24,35.2,33.5,32.7,27.9,21.4,29.4,26.6,41.6,17,27.4,36.7
6587.61,6,8.537,-1.05,16.9,15.2,17,12.2,9.8,11.4,11.7,20.3,6.2,10.8,17
7111.47,6,8.64,-1.07,13.2,11.3,12.1,15.1,9.6,12.3,10.9,16.6,36.7,10.2,14
7113.179,6,8.647,-0.76,25.3,22.4,23.2,20.3,13.8,17.9,19.5,33,11.3,18.2,24.3
7771.944,8,9.146,0.37,77.8,69.7,79.1,63.6,71,69.4,62.9,79.9,56.9,61.5,81.8
7774.166,8,9.146,0.22,66.3,59.2,66,56,62.4,64.1,54.9,72,47.2,52.6,71.8
7775.388,8,9.146,0,50.5,45.8,42.4,43.5,48.7,45.4,38.9,53.3,36.5,37,53.3
4751.822,11,2.1044,-2.078,21.1,21.2,21.5,19.7,10.3,20.7,20.4,32.4,7.9,22,20.6
5148.838,11,2.1023,-2.044,11.5,11.2,11.6,8.5,4.7,12.7,10.3,18.5,3.8,12,11.4
6154.225,11,2.1023,-1.547,38.3,37.4,39.5,36.1,18.4,41.7,37.3,56.2,12.4,41.4,39.4
6160.747,11,2.1044,-1.246,59.6,56.8,60.3,55.3,32.2,62.1,58.4,77.4,23.5,62.4,58.7
4571.095,12,0,-5.623,107.7,109.2,121.3,120.2,98.7,124.3,119.5,124.6,89.1,116.7,117.9
4730.04,12,4.34,-2.389,68.4,68.6,78.3,75.8,51.9,81.6,76.6,88.7,39.4,74.8,75.7
5711.088,12,4.345,-1.729,106.9,105.5,120.5,114.7,92.4,98.4,117,124.4,82.2,116.7,114.7
